date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2026-04-07,Kon Tum,003667,16646,48895,"99111, 55025","48925, 88747, 12197, 64812, 81825, 46351, 45638",7027,"9361, 7270, 0125",433,12
2026-04-07,Phú Yên,840838,38414,13378,"26392, 21102","69498, 88089, 56281, 66294, 22790, 40588, 87946",9135,"4516, 2153, 5657",108,83
2026-04-07,Quảng Nam,748229,03088,12963,"76676, 88176","47237, 81249, 19309, 39610, 58013, 04987, 73268",2624,"7850, 6305, 8896",232,33
2026-04-07,Đắk Lắk,031631,87802,11663,"54677, 33913","66231, 19930, 72717, 77765, 73940, 86582, 55059",3108,"0944, 6936, 9673",937,73
2026-04-08,06/04/2026,303904,09486,10657,"17418, 84124","40493, 27308, 99224, 47021, 12204, 59724, 59624",7721,"2332, 7586, 6707",526,95
2026-04-08,Khánh Hòa,732501,00392,14837,"15567, 85488","72175, 23412, 90076, 15311, 53934, 89420, 68512",2307,"3016, 1887, 1983",043,07
2026-04-08,Phú Yên,840838,38414,13378,"26392, 21102","69498, 88089, 56281, 66294, 22790, 40588, 87946",9135,"4516, 2153, 5657",108,83
2026-04-08,Quảng Nam,748229,03088,12963,"76676, 88176","47237, 81249, 19309, 39610, 58013, 04987, 73268",2624,"7850, 6305, 8896",232,33
2026-04-08,Đà Nẵng,765097,87078,96422,"60459, 46165","75023, 10802, 25302, 11923, 03462, 53268, 26717",5767,"1574, 4984, 6022",678,35
2026-04-08,Đắk Lắk,031631,87802,11663,"54677, 33913","66231, 19930, 72717, 77765, 73940, 86582, 55059",3108,"0944, 6936, 9673",937,73
2026-04-09,Bình Định,826200,31844,78252,"07647, 19911","50645, 09034, 96986, 15998, 35120, 23861, 66863",4919,"8737, 8289, 7420",434,62
2026-04-09,Khánh Hòa,732501,00392,14837,"15567, 85488","72175, 23412, 90076, 15311, 53934, 89420, 68512",2307,"3016, 1887, 1983",043,07
2026-04-09,Quảng Bình,009140,15524,45203,"39651, 22915","58184, 08895, 51419, 52683, 21671, 25230, 44253",2174,"7182, 3423, 3097",234,16
2026-04-09,Quảng Nam,748229,03088,12963,"76676, 88176","47237, 81249, 19309, 39610, 58013, 04987, 73268",2624,"7850, 6305, 8896",232,33
2026-04-09,Quảng Trị,546768,42228,19014,"05658, 88936","79707, 31121, 78934, 39438, 52285, 52414, 20405",9089,"5471, 1032, 8839",904,34
2026-04-09,Đà Nẵng,765097,87078,96422,"60459, 46165","75023, 10802, 25302, 11923, 03462, 53268, 26717",5767,"1574, 4984, 6022",678,35
2026-04-09,Đắk Lắk,031631,87802,11663,"54677, 33913","66231, 19930, 72717, 77765, 73940, 86582, 55059",3108,"0944, 6936, 9673",937,73
2026-04-10,Bình Định,826200,31844,78252,"07647, 19911","50645, 09034, 96986, 15998, 35120, 23861, 66863",4919,"8737, 8289, 7420",434,62
2026-04-10,Gia Lai,588200,48159,91801,"78227, 11096","58520, 67271, 04551, 77371, 24367, 64838, 55695",4977,"6216, 3930, 8330",487,97
2026-04-10,Khánh Hòa,732501,00392,14837,"15567, 85488","72175, 23412, 90076, 15311, 53934, 89420, 68512",2307,"3016, 1887, 1983",043,07
2026-04-10,Ninh Thuận,421355,73862,03460,"89310, 90304","90889, 08837, 95414, 64204, 17444, 04061, 90971",2839,"7701, 3584, 6874",216,86
2026-04-10,Quảng Bình,009140,15524,45203,"39651, 22915","58184, 08895, 51419, 52683, 21671, 25230, 44253",2174,"7182, 3423, 3097",234,16
2026-04-10,Quảng Trị,546768,42228,19014,"05658, 88936","79707, 31121, 78934, 39438, 52285, 52414, 20405",9089,"5471, 1032, 8839",904,34
2026-04-10,Đà Nẵng,765097,87078,96422,"60459, 46165","75023, 10802, 25302, 11923, 03462, 53268, 26717",5767,"1574, 4984, 6022",678,35
2026-04-11,11/04/2026,578964,39565,29737,"19399, 46221","54780, 06966, 05648, 50663, 35232, 62458, 13145",5415,"5697, 3979, 0247",276,48
2026-04-11,Bình Định,826200,31844,78252,"07647, 19911","50645, 09034, 96986, 15998, 35120, 23861, 66863",4919,"8737, 8289, 7420",434,62
2026-04-11,Gia Lai,588200,48159,91801,"78227, 11096","58520, 67271, 04551, 77371, 24367, 64838, 55695",4977,"6216, 3930, 8330",487,97
2026-04-11,Ninh Thuận,421355,73862,03460,"89310, 90304","90889, 08837, 95414, 64204, 17444, 04061, 90971",2839,"7701, 3584, 6874",216,86
2026-04-11,Quảng Bình,009140,15524,45203,"39651, 22915","58184, 08895, 51419, 52683, 21671, 25230, 44253",2174,"7182, 3423, 3097",234,16
2026-04-11,Quảng Ngãi,443100,56417,17067,"81836, 27678","85123, 95943, 11346, 01179, 94971, 02466, 35331",7230,"1871, 7291, 3119",119,92
2026-04-11,Quảng Trị,546768,42228,19014,"05658, 88936","79707, 31121, 78934, 39438, 52285, 52414, 20405",9089,"5471, 1032, 8839",904,34
2026-04-11,Đà Nẵng,115128,48155,25851,"95122, 79489","85940, 85075, 03108, 10504, 37323, 62007, 23832",4741,"8003, 5666, 3806",190,12
2026-04-12,11/04/2026,578964,39565,29737,"19399, 46221","54780, 06966, 05648, 50663, 35232, 62458, 13145",5415,"5697, 3979, 0247",276,48
2026-04-12,12/04/2026,878653,29371,63011,"87746, 73391","17701, 82340, 46935, 23528, 96803, 47018, 65014",9862,"7861, 4841, 0910",175,03
2026-04-12,Gia Lai,588200,48159,91801,"78227, 11096","58520, 67271, 04551, 77371, 24367, 64838, 55695",4977,"6216, 3930, 8330",487,97
2026-04-12,Khánh Hòa,243524,70476,99482,"76867, 76983","19849, 01141, 05077, 86647, 30039, 85452, 68814",9817,"6469, 0928, 9060",467,24
2026-04-12,Kon Tum,259939,22283,78002,"54335, 63721","27982, 16712, 95942, 85278, 75090, 84557, 31846",7130,"4855, 5784, 3606",183,39
2026-04-12,Ninh Thuận,421355,73862,03460,"89310, 90304","90889, 08837, 95414, 64204, 17444, 04061, 90971",2839,"7701, 3584, 6874",216,86
2026-04-12,Quảng Ngãi,443100,56417,17067,"81836, 27678","85123, 95943, 11346, 01179, 94971, 02466, 35331",7230,"1871, 7291, 3119",119,92
2026-04-12,Đà Nẵng,115128,48155,25851,"95122, 79489","85940, 85075, 03108, 10504, 37323, 62007, 23832",4741,"8003, 5666, 3806",190,12
2026-04-13,11/04/2026,578964,39565,29737,"19399, 46221","54780, 06966, 05648, 50663, 35232, 62458, 13145",5415,"5697, 3979, 0247",276,48
2026-04-13,12/04/2026,878653,29371,63011,"87746, 73391","17701, 82340, 46935, 23528, 96803, 47018, 65014",9862,"7861, 4841, 0910",175,03
2026-04-13,13/04/2026,705900,17913,05319,"80514, 80333","29666, 95969, 28143, 87122, 87282, 96264, 83985",0260,"5351, 1560, 4074",412,04
2026-04-13,Khánh Hòa,243524,70476,99482,"76867, 76983","19849, 01141, 05077, 86647, 30039, 85452, 68814",9817,"6469, 0928, 9060",467,24
2026-04-13,Kon Tum,259939,22283,78002,"54335, 63721","27982, 16712, 95942, 85278, 75090, 84557, 31846",7130,"4855, 5784, 3606",183,39
2026-04-13,Phú Yên,524115,24327,34106,"72830, 41721","33389, 92805, 37388, 49181, 23090, 12159, 54579",0962,"2329, 1942, 8380",847,80
2026-04-13,Quảng Ngãi,443100,56417,17067,"81836, 27678","85123, 95943, 11346, 01179, 94971, 02466, 35331",7230,"1871, 7291, 3119",119,92
2026-04-13,Đà Nẵng,115128,48155,25851,"95122, 79489","85940, 85075, 03108, 10504, 37323, 62007, 23832",4741,"8003, 5666, 3806",190,12
2026-04-14,12/04/2026,878653,29371,63011,"87746, 73391","17701, 82340, 46935, 23528, 96803, 47018, 65014",9862,"7861, 4841, 0910",175,03
2026-04-14,13/04/2026,705900,17913,05319,"80514, 80333","29666, 95969, 28143, 87122, 87282, 96264, 83985",0260,"5351, 1560, 4074",412,04
2026-04-14,Khánh Hòa,243524,70476,99482,"76867, 76983","19849, 01141, 05077, 86647, 30039, 85452, 68814",9817,"6469, 0928, 9060",467,24
2026-04-14,Kon Tum,259939,22283,78002,"54335, 63721","27982, 16712, 95942, 85278, 75090, 84557, 31846",7130,"4855, 5784, 3606",183,39
2026-04-14,Phú Yên,524115,24327,34106,"72830, 41721","33389, 92805, 37388, 49181, 23090, 12159, 54579",0962,"2329, 1942, 8380",847,80
2026-04-14,Quảng Nam,359577,10198,10783,"99420, 58991","52672, 58248, 86044, 32401, 51839, 91773, 52346",0304,"8921, 7697, 2023",942,75
2026-04-14,Đắk Lắk,426865,67739,86787,"88064, 65078","39353, 26395, 52852, 98629, 64576, 50630, 04830",3376,"8878, 3092, 0961",742,13
2026-04-15,13/04/2026,705900,17913,05319,"80514, 80333","29666, 95969, 28143, 87122, 87282, 96264, 83985",0260,"5351, 1560, 4074",412,04
2026-04-15,Khánh Hòa,665456,22308,67088,"02256, 51834","10783, 26573, 55511, 95617, 94206, 29692, 46252",1402,"3849, 7188, 8671",049,80
2026-04-15,Phú Yên,524115,24327,34106,"72830, 41721","33389, 92805, 37388, 49181, 23090, 12159, 54579",0962,"2329, 1942, 8380",847,80
2026-04-15,Quảng Nam,359577,10198,10783,"99420, 58991","52672, 58248, 86044, 32401, 51839, 91773, 52346",0304,"8921, 7697, 2023",942,75
2026-04-15,Đà Nẵng,424885,45337,15405,"24176, 98352","68967, 66082, 51347, 52280, 37284, 63029, 44449",8685,"4529, 9214, 0629",074,47
2026-04-15,Đắk Lắk,426865,67739,86787,"88064, 65078","39353, 26395, 52852, 98629, 64576, 50630, 04830",3376,"8878, 3092, 0961",742,13
